"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
122815,"75ccm1",1122,"qui s’appelle le (X).","l","l","?",3,3,"?","n","l","l","?","* missing right context",,,
122824,"75ccm1",1122,": En Europe de l’Est. E : Hum. CM : En Pologne en Hongri","p","d","l",0,0,3,"y","p","d","l",,,,
122829,"75ccm1",1422,"r secteur de / d’activité économique.","R","d","d",1,0,0,"y","R","d","d","* pause before right context",,,
122846,"75ccm1",422,"science exacte loin de là. E : Hum.","k","t","l",0,0,3,"n","k","t","l",,,,
122850,"75ccm1",1422,"est passé ça entre temps donc’.","t","R","t",0,1,0,"n","t","R","t",,,,
122854,"75ccm1",1122,"é un peu ce que tu leur as dit ou tu as toujours des moye","s","k","t",1,0,0,"y","s","k","t",,"s","k","t"
122865,"75ccm1",1422,"te parce que tu dis ’achetez’ bon le truc même","s","k","t",1,0,0,"y","s","k","t",,"s","k","t"
122870,"75ccm1",1322,"2tit voilà exactement.","k","t","m",0,0,2,"y","k","t","m",,,,
122881,"75ccm1",1122,"rrivé on/ je me suis dit ’bon quand même’ on va être eu","ʒ","m","s",1,2,1,"n","ʒ","m","s",,"ʒ","m","s"
122902,"75ccm1",1122,"les/ un type de produit enfin je sais pas si tu es familière","p","d","p",0,0,0,"y","p","d","p",,,,
122904,"75ccm1",1422,"appelle analyste financier.","s","t","f",1,0,1,"y","s","t","f",,,,
122908,"75ccm1",122,"dres donc je suis parti à Londres toujours chez (X).","k","ʒ","s",0,1,1,"n","k","ʒ","s",,,,
122909,"75ccm1",422,"suis parti à Londres toujours chez (X).","d","R","t",0,1,0,"n","d","R","t",,,,
122911,"75ccm1",422,"CM : A Londres donc je suis parti à Londres toujou","d","R","d",0,1,0,"n","d","R","d",,,,
122924,"75ccm1",122,"CM : Donc je suis parti avec une autre personne","k","ʒ","s",0,1,1,"n","k","ʒ","s",,,,
122927,"75ccr1",1122,"j’ai pas mal de no/ j’ai des notions grammaticales","l","d","n",3,0,2,"y","l","d","n",,,,
122930,"75ccr1",1122,"e en fait je / je/ je sais et j’ai/ j’ai pas mal de","f","ʒ","ʒ",1,1,1,"n","fɛ","ʒ","/ʒ","* indeterminate C1 and pause before C3",,,
122934,"75ccr1",1322,"pour en revenir à l’arabe en fait je/ je/","R","v","n",1,1,2,"n","R","v","n",,,,
122942,"75ccr1",1322,"rlaient pas correctement français.","k","t","m",0,0,2,"y","k","t","m",,,,
122950,"75ccr1",1222,"énéral ils prenaient","p","R","n",0,1,2,"n","p","R","n",,"p","R","n"
122952,"75ccr1",1122,"leurs ils le parlaient pas forcément>","l","l","p",3,3,0,"n","l","l","p",,,,
122955,"75ccr1",1122,"aient pas ils le parlaient pas forcément d’ailleurs ils l","l","l","p",3,3,0,"n","l","l","p",,,,
122957,"75ccr1",1122,"CR : Ils le parlaient déjà plus ou moins mais pas bien.","l","l","p",3,3,0,"n","l","l","p",,,,
122962,"75ccr1",1422,"ol parce que l’arabe.","s","k","l",1,0,3,"y","s","k","l",,,,
122966,"75ccr1",1222,"naient peu. Ils prenaient surtout l’espagnol parce que l’","p","R","n",0,1,2,"n","p","R","n",,,,
122967,"75ccr1",1222,": Ils le prenaient peu. Ils prenaient surtout l’espagnol","p","R","n",0,1,2,"n","p","R","n",,"p","R","n"
122970,"75ccr1",1222,"s ils le prenaient pas>","p","R","n",0,1,2,"n","p","R","n",,,,
122971,"75ccr1",1122,"CR : Mais ils le prenaient pas>","l","l","p",3,3,0,"n","l","l","p",,,,
122978,"75ccr1",1122,"peux pas dire je parle.","R","ʒ","p",1,1,0,"n","R","ʒ","p",,,,
122983,"75ccr1",1122,"0 hein ce que je dis hein ma","s","k","ʒ",1,0,1,"y","s","k","ʒ",,,,
122997,"75ccr1",1322,"Enfin je comprenais à peu près ce qu’il me disait je","p","R","n",0,1,2,"n","p","R","n",,,,
123000,"75ccr1",422,"Mais par exemple récemment j’ai eu un dîner avec un, un ami","p","l","R",0,3,1,"n","p","l","R",,,,
123008,"75ccr1",1122,"e peu que je sais c’est de l’arabe littéral. E :","k","ʒ","s",0,1,1,"n","k","ʒ","s",,"k","ʒ","s"
123013,"75ccr1",422,"euh moi je parle l’arabe littéral enfin le peu que","R","l","l",1,3,3,"n","R","l","l",,"R","l","l"
123034,"75ccr1",1122,"es notions je le lis.","ʒ","l","l",1,3,3,"n","ʒ","l","l",,"ʒ","l","l"
123037,"75ccr1",422,"ire je parle l’arabe hein. Mais j’ai des notions je le","R","l","l",1,3,3,"n","R","l","l",,,,
123039,"75ccr1",122,"tions d’arabe je peux pas dire je parle l’arabe he","b","ʒ","p",0,1,0,"n","b","ʒ","p",,,,
123287,"75clb1",1122,"les croûtes de fromage (rires) E : Oh (rires)","t","d","f",0,0,1,"y","t","d","f",,,,
123293,"75clb1",1422,": Il faisait quelque chose qui était euh très français c’est-à","l","k","ʃ",3,0,1,"y","l","k","ʃ",,,,
123300,"75clb1",1122,"t des études de biologie.","d","d","b",0,0,0,"y","d","d","b",,,,
123337,"75clb1",1122,"c’est pas mal de parler plusieurs langues couramment (rire","l","d","p",3,0,0,"y","l","d","p",,,,
123344,"75clb1",1122,"4re langue que le français.","g","k","l",0,0,3,"y","g","k","l",,,,
123356,"75clb1",1222,"ême pour re garder des films il y en a très peu en alle","R","R","g",1,1,0,"n","R","R","g","* regarder (not ""re garder"")",,,
123359,"75clb1",1422,"t plus parce que même pour regarder des films il","s","k","m",1,0,2,"y","s","k","m",,,,
123373,"75clb1",1122,"t euh langues de / de travail en fait et encore c’","g","d","d",0,0,0,"y","g","d","d","* pause before C3",,,
123517,"75csb1",1122,"que chef de produit chez (X).","f","d","p",1,0,0,"y","f","d","p",,,,
123523,"75csb1",1122,"t de chef de produit.","f","d","p",1,0,0,"y","f","d","p",,,,
123542,"75csb1",1122,"0 d’école de commerce.","l","d","k",3,0,0,"y","l","d","k",,,,
123552,"75csb1",122,"SB : Euh donc je suis restée trois ans là-bas oui on était dans","k","ʒ","s",0,1,1,"n","k","ʒ","s",,,,
123568,"75csb1",1122,"je euh je me suis pas vraiment retrouvé là-dedans. J","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
123578,"75csb1",422,"on bac en quatre-vingt dix-sept","t","R","v",0,1,1,"n","t","R","v",,,,
123598,"75csb1",1122,"SB : Pfff que te dire d’autre. C’était euh sans ê","?","k","t","?",0,0,"y","pɸ͡xʷː","k","t","* [pɸ͡xʷː] is a non-speech interjection",,,
123599,"75csb1",1222,"SB : Une petite vie tranquille euh.","n","p","t",2,0,0,"y","n","p","t",,,,
123603,"75csb1",222,"même une petite vie euh.","n","p","t",2,0,0,"y","n","p","t",,,,
123614,"75csb1",1122,"enne donc le métro pour aller à Paris donc voilà.","k","l","m",0,3,2,"n","k","l","m",,,,
123618,"75csb1",1122,"s plus jeune que je prenne donc le métro pour","n","k","ʒ",2,0,1,"y","n","k","ʒ",,,,
123625,"75csb1",422,"mi-chemin entre la banlieue et Paris c’est-à-dire que en","t","R","l",0,1,3,"n","t","R","l",,,,
123631,"75csb1",1122,"le centre de Paris. E : Hum.","R","d","p",1,0,0,"y","R","d","p",,,,
123640,"75csb1",1422,"Paris parce que quand j’étais plus jeune donc j’habitais","s","k","k",1,0,0,"y","s","k","k",,,,
123642,"75csb1",1122,"eur coeur de Paris parce que quand j’étais plus jeune","R","d","p",1,0,0,"y","R","d","p",,"R","d","p"
123819,"75cac1",1422,"préfère être dans le neuvième.","t","R","d",0,1,0,"n","t","R","d",,,,
123824,"75cac1",1122,"ar contre le week-end je préfère être dans","R","l","w",1,3,4,"n","R","l","w",,,,
123827,"75cac1",1122,"repartir le matin d’ici.","R","l","m",1,3,2,"n","R","l","m",,,,
123841,"75cac1",1122,"1 travaille je suis content de venir euh donc ic","j","ʒ","s",4,1,1,"n","j","ʒ","s","*",,,
123843,"75cac1",1122,"1 ambiance de rue il y a pas.","s","d","R",1,0,1,"y","s","d","R",,,,
123849,"75cac1",422,"Hum hum. AC : Entre Pigalle et ici c’est.","t","R","p",0,1,0,"n","t","R","p",,,,
123851,"75cac1",1422,"ue parce que c’est pas.","s","k","s",1,0,1,"y","s","k","s",,,,
123859,"75ccb2",422,"s faire la liste mais.","s","t","m",1,0,2,"y","s","t","m",,,,
123861,"75ccb2",122,"lande (bruit) je veux pas faire la liste mais.","?","ʒ","v","?",1,1,"n","?","ʒ","v","* C1 is non-speech",,,
123869,"75ccb2",422,"quateur euh sept mois.","s","t","m",1,0,2,"y","sɛ","t","m","* intervening V between C1 and C2",,,
123877,"75ccb2",122,"r ça que je te disais plus la musique voilà. (br","k","ʒ","t",0,1,0,"n","k","ʒ","t",,,,
123878,"75ccb2",1122,"disais plus la musique voilà. (bruit)","?","?","d","?","?",0,"n","?","?","d","* no left context",,,
123883,"75ccb2",1122,"2 la musique que la lecture. C’est pour ça que je","k","k","l",0,0,3,"y","k","k","l",,,,
123886,"75ccb2",1122,"mme si je te disais je lis beaucoup aussi tu vois c’est pa","ʒ","t","d",1,0,0,"y","ʒ","t","d",,,,
123932,"75ccr1",1422,"agnol et quelques notions d’italien j’ai/ en général j’arriv","l","k","n",3,0,2,"y","l","k","n",,,,
123938,"75ccr1",1122,"bien mais je le parle.","ʒ","l","p",1,3,0,"n","ʒ","l","p",,,,
123947,"75ccr1",422,"uis sortie en quatre-vingt quatorze","t","R","v",0,1,1,"n","t","R","v",,,,
123951,"75ccr1",1322,"uis rentrée directement en deuxième année.","k","t","m",0,0,2,"y","k","t","m",,,,
124027,"75clb1",1122,"nt de ce que moi j’ai fait mais dans les matières scienti","s","k","m",1,0,2,"y","s","k","m",,,,
124051,"75clb1",1422,"t-onze et quatre-vingt-treize euh","t","R","v",0,1,1,"n","t","R","v",,,,
124053,"75clb1",1422,"ingt-neuf quatre-vingt-onze et quatre-vingt-treize euh.","t","R","v",0,1,1,"n","t","R","v",,,,
124055,"75clb1",1422,"ingt-sept quatre-vingt-neuf quatre-vingt-onze et quatre-vingt-tre","t","R","v",0,1,1,"n","t","R","v",,,,
124077,"75clb1",1122,"1 contrôle de gestion. E : Hum hum.","l","d","ʒ",3,0,1,"y","l","d","ʒ",,,,
124135,"75csb1",122,"1 petite je rêvais d’habiter dans le coeur coeur","t","ʒ","R",0,1,1,"n","t","ʒ","R",,,,
124136,"75csb1",1222,"2puis toute pe tite je rêvais d’habiter dans le coeu","t","p","t",0,0,0,"y","t","p","t","* petite (not ""pe tite"")",,,
124146,"75csb1",1122,"SB : Pour le shopping. E : Hum hum. SB : Très important p","R","l","ʃ",1,3,1,"n","R","l","ʃ",,,,
124155,"75csb1",1422,"se parce que mon ami euh mon copain habitait là-bas.","s","k","m",1,0,2,"y","s","k","m",,"s","k","m"
124219,"75cac1",422,"eu dé/ décontracte mais finalement un peu faux décontracte.","k","t","m",0,0,2,"y","k","t","m",,,,
124221,"75ccb2",1122,"1 mélomane que ça.","n","k","s",2,0,1,"y","n","k","s",,,,
124228,"75ccb2",1122,"cds avant de me les faire voler voilà mais c’est pas un.","d","m","l",0,2,3,"n","d","m","l",,,,
124229,"75ccm1",1222,"une toute pe tite antenne on était trois.","t","p","t",0,0,0,"y","t","p","t","* petite (not ""pe tite"")","t","p","t"
124233,"75ccm1",1222,"un bureau de re présentation qui est un tout petit euh enfin","d","R","p",0,1,0,"n","d","R","p","* representation (not ""re presentation"")",,,
124243,"75ccr1",1322,"suis passée directe ment en faculté en deuxième année.","k","t","m",0,0,2,"y","k","t","m",,"k","t","m"
124244,"75ccr1",1122,"suis passée directement en faculté en deuxi","?","?","s","?","?",1,"n","?","?","s","* no left context","—","—","—"
124262,"75clb1",1122,": Un peu plus de dix ans dans le contrôle de gest","s","d","d",1,0,0,"y","s","d","d",,,,
124266,"75clb1",1122,"1 contrôle de gestion. E : Hum hum.","l","d","ʒ",3,0,1,"y","l","d","ʒ",,,,
124269,"75clb1",1122,"nc moi je me suis spécialisée dans le contrôle de","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
124287,"75csb1",1422,"eu euh de courte durée et depuis mes vingt quatre ans","R","t","d",1,0,0,"y","R","t","d",,,,
124353,"75ccm1",1122,"tait analyste de crédit ça c’était à la (X) en stage penda","t","d","k",0,0,0,"y","t","d","k",,,,
124354,"75ccm1",422,"2s c’était analyste de crédit ça c’était à la (X) en stage","s","t","d",1,0,0,"y","s","t","d",,,,
124355,"75ccm1",422,"h donc les poste s c’était analyste de crédit ça c’étai","s","t","s",1,0,1,"y","s","t","s","* postes (not ""poste s"")",,,
124362,"75ccm1",1122,"je/ j’ai fait je bossais que dans la/ dans les banques.","f","ʒ","b",1,1,0,"n","fe","ʒ","b","* intervening V",,,
124365,"75ccm1",1422,"CM : Analyste de crédit.","s","t","d",1,0,0,"y","s","t","d",,,,
124368,"75ccr1",1122,"CR : Ensuite je suis je suis pas allée en khâgne je","t","ʒ","s",0,1,1,"n","t","ʒ","s",,,,
124375,"75ccr1",1122,"ne classe de prépara/ une classe préparatoire. E","s","d","p",1,0,0,"y","s","d","p",,"s","d","p"
124412,"75clb1",1122,"t par exemple de la comptabilité de la gestion du marketing","l","d","l",3,0,3,"y","l","d","l",,,,
124475,"75cac1",422,"AC : Très juste dans sa communication euh. E : Hum hum.","s","t","d",1,0,0,"y","s","t","d",,,,
124478,"75cac1",122,"is euh alors que c’est/ c’est/ c’est/ c’est là o~A on voit.","R","k","s",1,0,1,"y","R","k","s",,,,
124484,"75ccm1",1422,"ce parce que je voulais changer un peu de boulot.","s","k","ʒ",1,0,1,"y","s","k","ʒ",,,,
124488,"75ccr1",1122,"s je sais oh.","?","ʒ","s","?",1,1,"n","?","ʒ","s","* C1 indeterminate",,,
124500,"75clb1",1322,"atois pas véritable ment de patois. E : Mais il n’avait pas non pl","b","l","m",0,3,2,"n","b","l","m",,,,
182320,"75cac1",1122,"en à travers le lien familial. E : Hum hum. AC : C’est pas.","R","l","l",1,3,3,"n","R","l","l",,,,
182328,"75cac1",422,"à voir ensemble quoi au niveau euh.","b","l","k",0,3,0,"n","b","l","k",,,,
182345,"75cac1",322,"t terrible parce que après oui enfin bon les réunions de","R","s","k",1,1,0,"n","R","s","k",,,,
182351,"75cac1",422,"oixante-quatorze soixante-quinze.","R","z","s",1,1,1,"n","R","z","s",,,,
182355,"75cac1",1422,"1-huit ans entre je sais pas.","t","R","ʒ",0,1,1,"n","t","R","ʒ",,,,
182370,"75cac1",422,"étaient impensables cinq six ans après finalement. E :","b","l","s",0,3,1,"n","b","l","s",,,,
182389,"75cac1",422,"bien dans ma propre famille puisque on a/ on a un jeune c","p","R","f",0,1,1,"n","p","R","f",,,,
182390,"75cac1",1122,"e vois je le vois bien dans ma propre famille puisque","ʒ","l","v",1,3,1,"n","ʒ","l","v",,,,
182392,"75cac1",1122,"AC : Moi je le vois je le vois bien dans ma propre f","ʒ","l","v",1,3,1,"n","ʒ","l","v",,,,
182404,"75ccb2",122,"en dehors de son pantalon mais ça va pas durer vingt seco","R","d","s",1,0,1,"y","R","d","s",,,,
182412,"75ccb2",1122,"as les meufs de l’autre.","f","d","l",1,0,3,"y","f","d","l",,,,
182420,"75ccb2",1422,"le parce que tu avais des.","s","k","t",1,0,0,"y","s","k","t",,,,
182428,"75ccb2",1122,"ner des cours de / de rock.","R","d","d",1,0,0,"y","R","d","/d","* pause between C2 & C3",,,
182434,"75ccb2",422,"ont genre entre vingt et vingt-cinq ans et qui eux vi","t","R","v",0,1,1,"n","t","R","v",,,,
182448,"75ccb2",1122,": On va dire de dix-huit heures à vingt-deux heu","R","d","d",1,0,0,"y","R","d","d",,,,
182453,"75ccb2",1122,"rallye cours de danse c’est genre de euh.","R","d","d",1,0,0,"y","R","d","d",,,,
182464,"75ccb2",1122,"rallye cours de danse.","R","d","d",1,0,0,"y","R","d","d",,,,
182465,"75ccb2",422,"le rallye bridge tu as le rallye cours de danse.","d","ʒ","t",0,1,0,"n","d","ʒ","t",,,,
182471,"75ccb2",1122,"2 fréquence que les soirées de rallye.","s","k","l",1,0,3,"y","s","k","l",,,,
182487,"75ccb2",1122,"1 les mères de bonnes familles.","R","d","b",1,0,0,"y","R","d","b",,,,
182491,"75ccb2",1122,"ais en groupe de dix entourés par les mères","p","d","d",0,0,0,"y","p","d","d",,,,
182497,"75ccb2",1122,"’est-à-dire que le samedi après-midi>","R","k","l",1,0,3,"y","R","k","l",,,,
182522,"75ccb2",1122,"du seizième le rallye ben tu connais le principe du rall","m","l","R",2,3,1,"n","m","l","R",,,,
182527,"75ccb2",1122,"t les courses de voitures tu vois>","s","d","v",1,0,1,"y","s","d","v",,,,
182528,"75ccb2",422,"c’était les courses de voitures tu vois>","R","s","d",1,1,0,"n","R","s","d",,,,
182530,"75ccb2",1122,"c’était que le bridge pour moi rallye c’était les cours","k","l","b",0,3,0,"n","k","l","b",,,,
182531,"75ccb2",422,"ue le bridge pour moi rallye c’était les courses de","d","ʒ","p",0,1,0,"n","d","ʒ","p",,,,
182533,"75ccb2",1122,"avais pas ce que c’était que le bridge pour moi r","s","k","s",1,0,1,"y","s","k","s",,,,
182538,"75ccb2",1122,"avais pas ce que ça voulait dire rallye et je savais pas","s","k","s",1,0,1,"y","s","k","s",,,,
182542,"75ccb2",1122,"ois des trucs de cool quoi> d’accord.","k","d","k",0,0,0,"y","k","d","k",,,,
182551,"75ccb2",422,"’était des cartables pff","b","l","?",0,3,"?","n","b","l","pɸ͡xʷː","* [pɸ͡xʷː] is a non-speech interjection",,,
182555,"75ccb2",422,"restait des cartables les Ta/ les Tann’s c’était de","b","l","l",0,3,3,"n","b","l","l",,,,
182562,"75ccm1",1422,"2 eux parce que quarante et l’autre cinquante-cinq","s","k","k",1,0,0,"y","s","k","k",,,,
182568,"75ccm1",122,"st plus jeune je le tutoie.","n","ʒ","l",2,1,3,"n","n","ʒ","l",,,,
182592,"75ccm1",1122,"c’est là que le saut de génération se se fait","k","l","s",0,3,1,"n","k","l","s",,,,
182593,"75ccm1",1122,"s peut-être que tu vois c’est un c’est là que le saut de","R","k","t",1,0,0,"y","R","k","t",,,,
182598,"75ccm1",1122,"Je pense que c’est, ouais je sais pas très bien déjà qu","s","k","s",1,0,1,"y","s","k","s",,,,
182606,"75ccm1",1122,"quand est-ce que ça allait s’arrêter un petit peu parce","s","k","s",1,0,1,"y","s","k","s",,,,
182608,"75ccm1",222,"suis toujours de mandé d’ailleurs quand est-ce que ça","R","d","m",1,0,2,"y","R","d","m","* demandé (not ""de mandé"")",,,
182611,"75ccm1",1122,"suis toujours demandé d’ailleurs qua","?","?","s","?","?",1,"n","?","?","s","* no left context",,,
182628,"75ccm1",1122,"1 mon âge de notre âge et que je l’ai (X) on","ʒ","d","n",1,0,2,"y","ʒ","d","n",,,,
182632,"75ccm1",1122,"une bande de jeunes de.","d","d","ʒ",0,0,1,"y","d","d","ʒ",,,,
182643,"75ccm1",1122,"us les genres de situation euh si je vais à le/ au mariag","R","d","s",1,0,1,"y","R","d","s",,,,
182648,"75ccm1",122,"le monde se fait la bise sauf si tu connais bien c’est de","d","s","f",0,1,1,"n","d","s","f",,,,
182664,"75ccm1",122,"de suite je sais pas si tu as remarqué mais les Français il","t","ʒ","s",0,1,1,"n","t","ʒ","s",,,,
182671,"75ccm1",122,"0 mon âge de ma génération qui me sont présentées par","ʒ","d","m",1,0,2,"y","ʒ","d","m",,,,
182676,"75ccm1",1122,"es personnes que je connais pas qui sont à peu près de m","n","k","ʒ",2,0,1,"y","n","k","ʒ",,,,
182683,"75ccm1",1122,"res personnes de même génération mais euh.","n","d","m",2,0,2,"y","n","d","m",,"n","d","m"
182690,"75ccm1",1122,"le genre de situation o~A tu te mets à tutoyer quelqu’un","R","d","s",1,0,1,"y","R","d","s",,,,
182712,"75ccr1",1122,"mais ensuite je sais pas euh","t","ʒ","s",0,1,1,"n","t","ʒ","s",,,,
182716,"75ccr1",1122,"le heaume le bouclier. E : Ouais.","m","l","b",2,3,0,"n","m","l","b",,,,
182718,"75ccr1",422,"R : Si le casque le heaume le bouclier. E : Ouais.","s","k","l",1,0,3,"y","s","k","l",,,,
182721,"75ccr1",1122,"ent incapable de décrire euh,","l","d","d",3,0,0,"y","l","d","d",,,,
182726,"75ccr1",1122,"e élève de de cinquième. E : Oui.","v","d","d",1,0,0,"y","v","d","d",,,,
182734,"75ccr1",1122,"ne armure de chevalier euh.","R","d","ʃ",1,0,1,"y","R","d","ʃ",,,,
182738,"75ccr1",1122,"uis incapable de décrire une armure de cheval","l","d","d",3,0,0,"y","l","d","d",,,,
182746,"75ccr1",1422,"re parce que non d’abord il y a des expressi","s","k","n",1,0,2,"y","s","k","n",,,,
182749,"75ccr1",422,"raiment à apprendre parce que non d’abord i","d","R","p",0,1,0,"n","d","R","p",,,,
182757,"75ccr1",422,"i être un texte du/ du dix-septième dix-huitième","s","t","d",1,0,0,"y","s","t","d",,"s","t","d"
182776,"75ccr1",422,"s être un texte du Moyen-Age. E : Hum hum.","s","t","d",1,0,0,"y","s","t","d",,,,
182779,"75ccr1",1122,"grammaticale de l’espagnol.","l","d","l",3,0,3,"y","l","d","l",,,,
182789,"75ccr1",122,"c’est de l’espagnol euh.","?","?","s","?","?",1,"n","?","?","s","* no left context",,,
182803,"75ccr1",1122,"1re un poème de Rimbaud à traduire par exe","m","d","R",2,0,1,"y","m","d","R",,,,
182821,"75ccr1",1122,"2 latin si je le repassais.","ʒ","l","R",1,3,1,"n","ʒ","l","R",,,,
182830,"75ccr1",1122,"lus avoir le latin ou.","R","l","l",1,3,3,"n","R","l","l",,,,
183047,"75clb1",1222,"2 pendant une semaine, et il a eu son bac du premier c","n","s","m",2,1,2,"n","n","s","m",,"n","s","m"
183052,"75clb1",1222,"pendant cette semaine là.","t","s","m",0,1,2,"n","t","s","m",,"t","s","l"
183059,"75clb1",1122,"2 piano pour se détendre donc c’était un coup du piano","R","s","d",1,1,0,"n","R","s","d",,,,
183061,"75clb1",1122,"vait plus que le piano pour se détendre donc c’é","k","l","p",0,3,0,"n","k","l","p",,,,
183067,"75clb1",1122,"s ’qu’est-ce que tu fais ?’","s","k","t",1,0,0,"y","s","k","t",,,,
183071,"75clb1",122,"ais descendre je lui disais ’qu’est-ce que tu fais ?’","R","ʒ","l",1,1,3,"n","R","ʒ","l",,,,
183082,"75clb1",1122,"ncé à faire le mardi.","R","l","m",1,3,2,"n","R","l","m",,,,
183091,"75clb1",1122,"1 a les cours se sont terminés.","R","s","s",1,1,1,"n","R","s","s",,,,
183099,"75clb1",1122,"on avait peur de ne pas l’avoir quoi","R","d","n",1,0,2,"y","R","d","n",,,,
183109,"75clb1",1222,"ue ça ne re présente plus rien du tout. E : Hum hum.","n","R","p",2,1,0,"n","n","R","p",,,,
183118,"75clb1",422,"0-vingt et quatre-vingt-dix pour cent de/ de jeunes qui l’ont.","t","R","v",0,1,1,"n","t","R","v",,,,
183120,"75clb1",422,"près de quatre-vingt et quatre-vingt-dix pour cent de/ de jeune","t","R","v",0,1,1,"n","t","R","v",,"t","R","v"
183143,"75clb1",1122,"4 euh pour que leur élève euh.","R","k","l",1,0,3,"y","R","k","l",,,,
183155,"75clb1",1422,"LB : Parce que maintenant c’est enfin je sais pas si en","s","k","m",1,0,2,"y","s","k","m",,,,
183161,"75clb1",1122,"pas toujours le cas. E : Hum hum.","R","l","k",1,3,0,"n","R","l","k",,,,
183164,"75clb1",1122,"s professeurs de travailler en commun. E : Hum hum.","R","d","t",1,0,0,"y","R","d","t",,,,
183181,"75clb1",422,"s je regarde s’il a bien je peux lui expliquer pendant","R","d","s",1,0,1,"y","R","d","s",,,,
183182,"75clb1",1222,"ui et puis je re garde s’il a bien je peux lui explique","ʒ","R","g",1,1,0,"n","ʒ","R","g","* regarde (not ""re garde"")",,,
183347,"75csb1",1122,"2 c’est sûr que ça va retomber sur la gueule du stag","R","k","s",1,0,1,"y","R","k","s",,,,
183356,"75csb1",1122,"1 des têtes de Turc c’est une erreur.","t","d","t",0,0,0,"y","t","d","t",,,,
183357,"75csb1",422,"c’est une erreur.","?","?","s","?","?",1,"n","?","?","s","* no left context",,,
183365,"75csb1",1122,"es stagiaires se font facilement passer pour des tête","R","s","f",1,1,1,"n","R","s","f",,,,
183369,"75csb1",422,"ête de Turc quand tu es stagiaire","R","k","k",1,0,0,"y","R","k","k",,,,
183370,"75csb1",1122,"une tête de Turc quand tu es stagiaire","t","d","t",0,0,0,"y","t","d","t",,,,
183385,"75csb1",1122,": Qu’est-ce que tu veux qu’elle y fasse là> c’est pas qu","s","k","t",1,0,0,"y","s","k","t",,"s","k","t"
183396,"75csb1",1122,"er qu’est-ce que fout ce mec qui est à côté là qui éc","s","k","f",1,0,1,"y","s","k","f",,,,
183399,"75csb1",1122,"doit quand même se demander qu’est-ce que fout ce me","m","s","d",2,1,0,"n","m","s","d",,,,
183412,"75csb1",1122,"0s en face de soi ?","s","d","s",1,0,1,"y","s","d","s",,,,
183415,"75csb1",1122,"nant euh pour le candidat ?>","R","l","k",1,3,0,"n","R","l","k",,,,
183428,"75csb1",422,"un autre exemple pour donner euh","p","l","p",0,3,0,"n","p","l","p",,,,
183440,"75csb1",1422,"igoler parce que leur, enfin leur responsable R.H.","s","k","l",1,0,3,"y","s","k","l",,,,
183632,"75cac1",122,"1 qu’en fait ce qui s’est passé c’est/ c’est/ c’est des question","f","s","k",1,1,0,"n","fɛ","s","k","* intervening V",,,
183636,"75cac1",422,"c’était des énormes sacrifices>","R","m","s",1,2,1,"n","R","m","s",,,,
183643,"75cac1",1122,"je pense que même entre eux ils en parlaient pas","s","k","m",1,0,2,"y","s","k","m",,,,
183653,"75ccb2",1222,"a/ doudounes Chevignon enfin quasiment tous quoi.","n","ʃ","v",2,1,1,"n","n","ʃ","v",,,,
183665,"75ccb2",1122,"r jour je me suis fait brancher sur mon Tann’s tu vois","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
183666,"75ccb2",122,"premier jour je me suis fait brancher sur mon Tann’s","R","ʒ","m",1,1,2,"n","R","ʒ","m",,"R","ʒ","m"
183679,"75ccb2",1322,"CB : Ben justement une grosse erreur parce que","s","t","m",1,0,2,"y","s","t","m",,,,
183690,"75ccb2",1422,"u bien parce que du coup j’avais ben j’avais neuf ans j’allais","s","k","d",1,0,0,"y","s","k","d",,,,
183698,"75ccm1",322,"4 c’est un appartement o~A tu es très intimidée non j’exagère","R","t","m",1,0,2,"y","R","t","m",,,,
183701,"75ccm1",322,"rès bel appartement> je.","R","t","m",1,0,2,"y","R","t","m",,"R","t","m"
183712,"75ccm1",1122,"0 la salle de bain quoi> mais il dort ici ou j’ai/ j’ai","l","d","b",3,0,0,"n","l","d","b",,,,
183730,"75ccm1",1322,"ment mais c’est quelque chose.","?","?","m","?","?",2,"n","?","?","m","* no left context",,,
183732,"75ccm1",1122,"sais pas ce que tu en as pensé de son appartement mais c","s","k","t",1,0,0,"y","s","k","t",,,,
183748,"75ccr1",1122,"0 épreuve de commentaire.","v","d","k",1,0,0,"y","v","d","k",,,,
183853,"75clb1",1122,"rs moi je me souviens quand une des professeurs avait","ʒ","m","s",1,2,1,"n","ʒ","m","s",,,,
183861,"75clb1",1122,"une heure de math en plus. E : Hum hum hum hum.","R","d","m",1,0,2,"y","R","d","m",,,,
183863,"75clb1",1122,"a le plus de difficultés a une heure de math","s","d","d",1,0,0,"y","s","d","d",,,,
183867,"75clb1",1122,"le groupe le / le qui a le plus de difficultés","p","l","l",0,3,3,"n","p","l","/l","* pause before C3",,,
183875,"75clb1",1122,"0s bougent de niveaux en fonction si ils ont progressé ou si a","ʒ","d","n",1,0,2,"y","ʒ","d","n",,,,
