"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
49637,"75ccm1",1122,"en désespoir de cause, décidé à écrire au Premier Min","R","d","k",1,0,0,"y","R","d","k",,,,
49650,"75ccm1",1122,"que maire de Beaulieu ne sait plus à quel saint se","R","d","b",1,0,0,"y","R","d","b",,,,
49655,"75ccm1",1122,"ans l’église de Saint Martinville.","z","d","s",1,0,1,"y","z","d","s",,,,
49660,"75ccm1",1422,"Quelques fanatiques auraient même entamé un je","l","k","f",3,0,1,"y","l","k","f",,,,
49667,"75ccm1",1422,"ue les activistes des communes voisines préparent une","s","t","d",1,0,0,"y","s","t","d",,,,
49673,"75ccm1",422,"L’Express, Ouest Liberté et Le Nouvel Observateur","s","t","l",1,0,3,"y","s","t","l",,,,
49678,"75ccm1",1422,"quelques articles parus dans La Dépêche du Centre,","k","l","p",0,3,0,"n","k","l","p",,,,
49688,"75ccm1",1422,"jaloux de notre liberté.","t","R","l",0,1,3,"n","t","R","l",,,,
49692,"75ccm1",1122,"ne membre de l’opposition aurait déclaré :","R","d","l",1,0,3,"y","R","d","l",,"R","d","l"
49693,"75ccm1",422,"Un jeune membre de l’opposition aurait déclaré :","b","R","d",0,1,0,"n","b","R","d",,,,
49697,"75ccm1",1422,"s d’identité risquent de provoquer une explosion.","s","k","d",1,0,0,"y","s","k","d",,,,
49704,"75ccm1",1122,"est fait pour le protéger.","R","l","p",1,3,0,"n","R","l","p",,,,
49706,"75ccm1",1122,"et s’assure que tout est fait pour le protéger.","R","k","t",1,0,0,"y","R","k","t",,,,
49711,"75ccm1",1322,"le gouvernement prend contact avec la préfecture","R","n","m",1,2,2,"n","R","n","m",,,,
49717,"75ccm1",1422,"D’un autre côté, à chaque voyage du Premier Minis","t","R","k",0,1,0,"n","t","R","k",,,,
49745,"75ccr1",422,"au Premier Ministre pour vérifier si son village","t","R","p",0,1,0,"n","t","R","p",,,,
49747,"75ccr1",1122,"en désespoir de cause,","R","d","k",1,0,0,"y","R","d","k",,,,
49762,"75ccr1",1122,"que maire de Beaulieu ne sait plus à quel saint se","R","d","b",1,0,0,"y","R","d","b",,"R","d","b"
49765,"75ccr1",1122,"ans l’église de Saint Martinville.","z","d","s",1,0,1,"y","z","d","s",,,,
49771,"75ccr1",1422,"Quelques fanatiques auraient même entamé un je","l","k","f",3,0,1,"y","l","k","f",,,,
49778,"75ccr1",422,"ue des activistes des communes voisines","s","t","d",1,0,0,"y","s","t","d",,,,
49784,"75ccr1",422,"L’Express, Ouest Liberté et Le Nouvel Observateur","s","t","l",1,0,3,"y","s","t","l",,,,
49786,"75ccr1",422,"pêche du Centre, L’Express, Ouest Liberté et Le Nouv","t","R","l",0,1,3,"n","t","R,","l",,,,
49788,"75ccr1",1422,"quelques articles parus dans La Dépêche du Centre, L’Exp","k","l","p",0,3,0,"n","k","l","p",,,,
49800,"75ccr1",1422,"jaloux de notre liberté.","t","R","l",0,1,3,"n","t","R","l",,,,
49802,"75ccr1",422,"Un jeune membre de l’opposition aurait déclaré :","b","R","d",0,1,0,"n","b","R","d",,,,
49803,"75ccr1",1122,"ne membre de l’opposition aurait déclaré :","R","d","l",1,0,3,"y","R","d","l",,,,
49809,"75ccr1",1422,"s d’identité risquent de provoquer une explosion.","s","k","d",1,0,0,"y","s","k","d",,,,
49815,"75ccr1",1122,"est fait pour le protéger.","R","l","p",1,3,0,"n","R","l","p",,,,
49817,"75ccr1",1122,"et s’assure que tout est fait pour le protéger.","R","k","t",1,0,0,"y","R","k","t",,,,
49823,"75ccr1",1322,"4, le gouvernement prend contact avec la préfecture","R","n","m",1,2,2,"n","R","n","m",,,,
49824,"75ccr1",1122,"ier Ministre, le gouvernement prend contact avec la pr","R","l","g",1,3,0,"n","R,","l","g",,,,
49826,"75ccr1",422,"du Premier Ministre, le gouvernement prend contact avec","t","R","l",0,1,3,"n","t","R,","l",,,,
49828,"75ccr1",1422,"D’un autre côté, à chaque voyage du Premier Minis","t","R","k",0,1,0,"n","t","R","k",,,,
49831,"75ccr1",1422,"bords manifestent leur colère.","s","t","l",1,0,3,"y","s","t","l",,,,
49849,"75ccr1",1122,"ne cesse de baisser depuis les élections.","s","d","b",1,0,0,"y","s","d","b",,"s","d","b"
49850,"75ccr1",422,"du Premier Ministre ne cesse de baisser depuis les é","t","R","n",0,1,2,"n","t","R","n",,,,
49851,"75ccr1",1122,"mier Ministre ne cesse de baisser depuis les élection","R","n","s",1,2,1,"n","R","n","s","...Ministre ne(?) cesse pas...",,,
49854,"75ccr1",1422,"1 Beaulieu - Marc_ Blanc - est en revanche très inquiet.","R","k","b",1,0,0,"y","R","k","b",,"—","—","—"
49856,"75ccr1",1122,"Le maire de Beaulieu - Marc Blanc - est en revanche","R","d","b",1,0,0,"y","R","d","b",,,,
50106,"75clb1",1122,"en désespoir de cause, décidé à écrire au Premier Min","R","d","k",1,0,0,"y","R","d","k",,,,
50119,"75clb1",1122,"que maire de Beaulieu ne sait plus à quel saint se","R","d","b",1,0,0,"y","R","d","b",,,,
50124,"75clb1",1122,"ans l’église de Saint Martinville.","z","d","s",1,0,1,"y","z","d","s",,,,
50130,"75clb1",1422,"Quelques fanatiques auraient même entamé un je","l","k","f",3,0,1,"y","l","k","f",,,,
50136,"75clb1",1422,"ue des activistes des communes voisines","s","t","d",1,0,0,"y","s","t","d",,,,
50142,"75clb1",1422,"L’Express, Ouest Liberté","s","t","l",1,0,3,"y","s","t","l",,,,
50144,"75clb1",422,"pêche du Centre, L’Express, Ouest Liberté","t","R","l",0,1,3,"n","t","R","l",,,,
50146,"75clb1",422,"quelques articles parus dans La Dépêche du Centre, L’Exp","k","l","p",0,3,0,"n","k","l","p",,,,
